geneID,symbol
83061957,LEN_RS00050
83062112,LEN_RS00835
83062125,LEN_RS00905
83062131,LEN_RS00935
83062165,LEN_RS01110
83062201,LEN_RS01310
83062301,LEN_RS01835
83062391,LEN_RS02290
83062422,LEN_RS02455
83062464,LEN_RS02675
83062542,LEN_RS03080
83062550,LEN_RS03120
83062621,LEN_RS03480
83062633,LEN_RS03540
83062728,LEN_RS04045
83062745,LEN_RS04130
83062795,LEN_RS04380
83062814,LEN_RS04475
83062859,LEN_RS04705
83062903,LEN_RS04925
83062967,LEN_RS05255
83062970,LEN_RS05270
83062988,LEN_RS05375
83063008,LEN_RS05475
83063039,LEN_RS05635
83063108,LEN_RS05995
83063109,LEN_RS06000
83063110,LEN_RS06005
83063111,LEN_RS06010
83063155,LEN_RS06230
83063200,LEN_RS06465
83063269,LEN_RS06820
83063272,LEN_RS06835
83063396,LEN_RS07475
83063454,LEN_RS07775
83063456,LEN_RS07785
83063485,LEN_RS07930
83063521,LEN_RS08110
83063546,LEN_RS08235
83063571,LEN_RS08360
83063580,LEN_RS08405
83063684,LEN_RS08930
83063711,LEN_RS09070
83063798,LEN_RS09520
83063804,LEN_RS09550
83063810,LEN_RS09590
83063825,LEN_RS09665
83063841,LEN_RS09745
83063866,LEN_RS09870
83063871,LEN_RS09895
83063894,LEN_RS10010
83063897,LEN_RS10025
83064020,LEN_RS10650
83064037,LEN_RS10735
83064093,LEN_RS11025
83064095,LEN_RS11045
83064096,LEN_RS11050
83064155,LEN_RS11345
83064167,LEN_RS11410
83064189,LEN_RS11520
83064192,LEN_RS11535
83064197,LEN_RS11560
83064222,LEN_RS11685
83064267,LEN_RS11910
83064280,LEN_RS11975
83064381,LEN_RS12500
83064431,LEN_RS12750
83064473,LEN_RS12960
83064545,LEN_RS13335
83064617,LEN_RS13695
83064646,carB
83064648,carA
83064733,LEN_RS14290
83064807,LEN_RS14685
83064861,LEN_RS14965
83064999,LEN_RS15680
83065030,LEN_RS15840
83065065,LEN_RS16035
83065066,LEN_RS16040
83065099,LEN_RS16205
83065151,LEN_RS16465
83065202,LEN_RS16730
83065210,LEN_RS16770
83065251,LEN_RS16985
83065254,LEN_RS17000
83065256,LEN_RS17010
83065358,LEN_RS17525
83065390,LEN_RS17685
83065461,LEN_RS18045
83065549,LEN_RS18485
83065550,LEN_RS18490
83065591,LEN_RS18695
83065697,LEN_RS19260
83065699,LEN_RS19270
83065713,LEN_RS19340
83065714,LEN_RS19345
83065734,LEN_RS19455
83065736,LEN_RS19465
83065744,LEN_RS19505
83065775,LEN_RS19660
83065783,LEN_RS19700
83065946,LEN_RS20525
83065963,LEN_RS20615
83065996,LEN_RS20780
83066137,LEN_RS21495
83066145,LEN_RS21535
83066318,LEN_RS22420
83066335,LEN_RS22505
83066357,LEN_RS22625
83066398,LEN_RS22835
83066423,LEN_RS22965
83066516,LEN_RS23430
83066545,LEN_RS23575
83066557,LEN_RS23635
83066648,LEN_RS24115
83066777,LEN_RS25240
