geneID,symbol
100034253,Gnl3l
100036765,Ccdc92
100049583,Trex1
100124593,Cxcr6
100125363,Fbxl13
100125364,C1h6orf120
100125369,Ceacam6
100125370,Nadk
100125371,Tug1
100125372,Ces1f
100125378,Nudcd3
100125595,Rs1
100125598,Mt1-ps3
100126191,Rab1b
100134871,Hbbl1
100137086,Jmjd7
100145871,Adh5
100151773,Tp53-ps3
100158225,Tedc2
100158233,Slc35a2
100169747,Phykpl
100188935,RT1-A
100188936,Ormdl1
100188937,Cox7c
100188944,Pnkd
100189544,Nrn1l
100190921,RGD2301395
100190936,Rnf123
100192313,Atxn7l3b
100196907,Tmem59
100216442,Ighj3
100216443,Ighj2
100216444,Ighj4
100216445,LOC100216445
100233176,Gon7
100233213,Insyn2a
100270678,Spns2
100270683,Tas1r2
100294508,Kiaa0319l
100301568,Abo
100302453,Mettl9
100302465,C1h10orf90
100303643,Fcgbp
100310811,Znrd1-ps1
100310845,Uty
100310875,Tas2r110
100310876,Tas2r136
100310886,Tas2r103
100312735,Vom1r103
100312982,Ddx3y
100312983,Kdm5d
100312984,Eif2s3y
100313969,Mir323
100313970,Mir325
100313971,Mir326
100313972,Mirlet7d
100313973,Mir329
100313974,Mir330
100313975,Mir331
100313976,Mir337
100313977,Mir148b
100313978,Mir338
100313979,Mir341
100313980,Mir342
100313981,Mir344-1
100313982,Mir347
100313983,Mir349
100313984,Mir129-2
100313985,Mir350
100313986,Mir352
100313987,Mir135b
100313988,Mir101-2
100313989,Mirlet7a-2
100313990,Mirlet7b
100313991,Mirlet7e
100313992,Mirlet7f2
100313993,Mirlet7i
100313994,Mir9-1
100313995,Mir9-2
100313996,Mir10a
100313997,Mir16-2
100313998,Mir17
100313999,Mir19b2
100314000,Mir21
100314001,Mir22
100314002,Mir23b
100314003,Mir24-1
100314004,Mir25
100314005,Mir27b
100314006,Mir27a
100314007,Mir29b2
100314008,Mir29b1
100314009,Mir30c1
100314010,Mir30d
100314011,Mir30a
100314012,Mir30c2
100314013,Mir32
100314014,Mir34c
100314015,Mir34a
100314016,Mir92a2
100314017,Mir96
100314018,Mir98
100314019,Mir99a
100314020,Mir103a2
100314021,Mir103a1
100314022,Mir107
100314023,Mir122
100314024,Mir124-2
100314025,Mir125b2
100314026,Mir128-1
100314027,Mir128-2
100314028,Mir130b
100314029,Mir132
100314030,Mir133a1
100314031,Mir137
100314032,Mir138-2
100314033,Mir138-1
100314034,Mir142
100314035,Mir143
100314036,Mir145
100314037,Mir152
