geneID,symbol,degree
100034253,Gnl3l,17
100036765,Ccdc92,13
100049583,Trex1,24
100124593,Cxcr6,4
100125363,Fbxl13,80
100125364,C1h6orf120,1
100125369,Ceacam6,32
100125370,Nadk,1
100125371,Tug1,25
100125372,Ces1f,17
100125378,Nudcd3,7
100125595,Rs1,3
100125598,Mt1-ps3,7
100126191,Rab1b,231
100134871,Hbbl1,6
100137086,Jmjd7,3
100145871,Adh5,4
100151773,Tp53-ps3,1
100158225,Tedc2,5
100158233,Slc35a2,2
100169747,Phykpl,146
100188935,RT1-A,11
100188936,Ormdl1,5
100188937,Cox7c,102
100188944,Pnkd,4
100189544,Nrn1l,2
100190921,RGD2301395,11
100190936,Rnf123,33
100192313,Atxn7l3b,3
100196907,Tmem59,68
100216442,Ighj3,2
100216443,Ighj2,2
100216444,Ighj4,2
100216445,LOC100216445,4
100233176,Gon7,4
100233213,Insyn2a,5
100270678,Spns2,13
100270683,Tas1r2,17
100294508,Kiaa0319l,1
100301568,Abo,8
100302453,Mettl9,1
100302465,C1h10orf90,3
100303643,Fcgbp,2
100310811,Znrd1-ps1,2
100310845,Uty,76
100310875,Tas2r110,12
100310876,Tas2r136,14
100310886,Tas2r103,17
100312735,Vom1r103,6
100312982,Ddx3y,9
100312983,Kdm5d,12
100312984,Eif2s3y,9
100313969,Mir323,138
100313970,Mir325,124
100313971,Mir326,181
100313972,Mirlet7d,263
100313973,Mir329,97
100313974,Mir330,167
100313975,Mir331,196
100313976,Mir337,157
100313977,Mir148b,189
100313978,Mir338,132
100313979,Mir341,89
100313980,Mir342,259
100313981,Mir344-1,90
100313982,Mir347,89
100313983,Mir349,89
100313984,Mir129-2,131
100313985,Mir350,94
100313986,Mir352,91
100313987,Mir135b,91
100313988,Mir101-2,241
100313989,Mirlet7a-2,119
100313990,Mirlet7b,211
100313991,Mirlet7e,91
100313992,Mirlet7f2,227
100313993,Mirlet7i,246
100313994,Mir9-1,146
100313995,Mir9-2,133
100313996,Mir10a,127
100313997,Mir16-2,222
100313998,Mir17,222
100313999,Mir19b2,197
100314000,Mir21,270
100314001,Mir22,266
100314002,Mir23b,195
100314003,Mir24-1,93
100314004,Mir25,180
100314005,Mir27b,169
100314006,Mir27a,153
100314007,Mir29b2,199
100314008,Mir29b1,225
100314009,Mir30c1,227
100314010,Mir30d,238
100314011,Mir30a,237
100314012,Mir30c2,226
100314013,Mir32,22
100314014,Mir34c,157
100314015,Mir34a,226
100314016,Mir92a2,211
100314017,Mir96,104
100314018,Mir98,164
100314019,Mir99a,233
100314020,Mir103a2,180
100314021,Mir103a1,208
100314022,Mir107,190
100314023,Mir122,162
100314024,Mir124-2,129
100314025,Mir125b2,221
100314026,Mir128-1,157
100314027,Mir128-2,187
100314028,Mir130b,149
100314029,Mir132,226
100314030,Mir133a1,82
100314031,Mir137,168
100314032,Mir138-2,179
100314033,Mir138-1,187
100314034,Mir142,106
100314035,Mir143,90
100314036,Mir145,256
100314037,Mir152,100
100314038,Mir153,111
100314039,Mir154,101
100314040,Mir181b1,152
100314041,Mir183,166
100314042,Mir184,43
100314043,Mir186,45
100314044,Mir187,105
100314045,Mir191,220
100314046,Mir194-1,160
100314047,Mir194-2,164
100314048,Mir196a2,61
100314049,Mir200c,180
100314050,Mir200b,161
100314051,Mir204,134
100314052,Mir206,118
100314053,Mir210,83
100314054,Mir211,129
100314055,Mir214,45
100314056,Mir217,120
100314057,Mir218-2,150
100314058,Mir219a1,69
100314059,Mir222,224
100314060,Mir223,139
100314061,Mir291a,5
100314062,Mir292,5
100314063,Mir297,10
100314064,Mir299b,5
100314065,Mir320a,146
100314066,Mir421,68
100314067,Mir429,137
100314068,Mir449a,10
100314069,Mir450a1,4
100314070,Mir451a,178
100314071,Mir489,43
100314072,Mir383,183
100314073,Mir361,151
100314074,Mir215,38
100314075,Mir224,175
100314076,Mir412,35
100314077,Mir1,140
100314078,Mir133b,107
100314079,Mir543,36
100314080,Mir541,134
100314081,Mir493,37
100314082,Mir494,86
100314083,Mir376c,38
100314084,Mir381,147
100314085,Mir382,37
100314086,Mir485,46
100314087,Mir369,37
100314088,Mir374b,36
100314089,Mir503,44
100314090,Mir505,1
100314091,Mir499a,31
100314094,Mir466c,1
100314095,Mir871,1
100314096,Mir874,5
100314097,Mir877,44
100314100,Mir147,37
100314101,Mir106a,171
100314102,Mir188,48
100314103,Mir190b,6
100314104,Mir301b,98
100314105,Mir384,44
100314106,Mir410,115
100314107,Mir411,103
100314108,Mir425,162
100314111,Mir495,11
100314112,Mir500,141
100314113,Mir671,101
100314115,Mir674,3
100314118,Mir760,105
100314119,Mir92b,187
100314120,Mir488,5
100314121,Mir146b,151
100314122,Mir202,87
100314125,Mir1224,140
100314126,Mir511,36
100314127,Mir504,50
100314128,Mir544,46
100314129,Mir615,79
100314130,Mir628,36
100314131,Mir632,36
100314132,Mir802,112
100314133,Mir675,48
100314134,Mir875,37
100314135,Mir201,36
100314136,Mir293,36
100314137,Mir294,36
100314138,Mir547,38
100314139,Mir667,36
100314140,Mir666,36
100314141,Mir759,36
100314142,Mir678,36
100314143,Mir711,134
100314144,Mir322,188
100314145,Mir327,90
100314146,Mir339,108
100314147,Mir345,226
100314148,Mir7-1,234
100314149,Mir9-3,185
100314150,Mir15b,220
100314151,Mir19a,117
100314152,Mir28,182
100314153,Mir30e,202
100314154,Mir93,213
100314155,Mir124-3,142
100314156,Mir125b1,233
100314157,Mir129-1,142
100314158,Mir150,199
100314159,Mir181b2,145
100314160,Mir190a,6
100314161,Mir203-1,18
100314162,Mir208a,36
100314163,Mir221,272
100314164,Mir196b,12
100314165,Mir431,28
100314166,Mir501,35
100314167,Mir539,40
100314168,Mir379,39
100314169,Mir363,57
100314172,Mir182,26
100314175,Mir672,2
100314177,Mir652,169
100314178,Mir568,37
100314179,Mir653,36
100314180,Mir665,52
100314181,Mir324,209
100314182,Mir335,100
100314183,Mir343,89
100314184,Mirlet7c1,196
100314185,Mir9,128
100314186,Mir19b1,203
100314187,Mir29c,99
100314188,Mir34b,57
100314189,Mir99b,169
100314190,Mir127,176
100314191,Mir134,178
100314192,Mir144,116
100314193,Mir192,124
100314194,Mir200a,120
100314195,Mir181a-1,98
100314196,Mir300,87
100314197,Mir433,118
100314198,Mir483,35
100314199,Mir542,125
100314200,Mir376b,82
100314201,Mir20b,168
100314204,Mir196a1,56
100314205,Mir455,168
100314206,Mir598,26
100314207,Mir770,141
100314208,Mir490,36
100314209,Mir582,37
100314210,Mir876,36
100314211,Mir761,37
100314212,Mir496,58
100314213,Mirlet7a1,254
100314214,Mir33,8
100314215,Mir141,97
100314216,Mir216a,10
100314217,Mir301a,176
100314218,Mir328,173
100314219,Mir336,89
100314220,Mir340,95
100314221,Mir346,150
100314222,Mir20a,248
100314223,Mir151,217
100314224,Mirlet7c2,195
100314225,Mir8,71
100314226,Mir10b,75
100314227,Mir18a,153
100314228,Mir23a,191
100314229,Mir26b,185
100314230,Mir29a,168
100314231,Mir30b,238
100314232,Mir31,191
100314233,Mir92a1,218
100314234,Mir100,194
100314235,Mir106b,182
100314236,Mir125a,194
100314237,Mir126b,17
100314238,Mir130a,270
100314239,Mir136,75
100314240,Mir139,134
100314241,Mir146a,195
100314242,Mir181c,200
100314243,Mir185,89
100314244,Mir193,7
100314245,Mir199a2,202
100314246,Mir205,147
100314247,Mir212,18
100314248,Mir218-1,96
100314249,Mir290,12
100314250,Mir298,114
100314251,Mir448,12
100314252,Mir365b,100
100314253,Mir207,38
100314254,Mir370,83
100314255,Mir540,35
100314256,Mir376a,38
100314257,Mir409,129
100314258,Mir378,10
100314259,Mir497,125
100314260,Mir872,3
100314262,Mir181d,158
100314263,Mir375,20
100314264,Mir423,10
100314265,Mir532,127
100314266,Mir708,138
100314267,Mir873,7
100314268,Mir551b,114
100314269,Mir362,48
100314270,Mir592,39
100314271,Mir668,36
100314272,Mir935,36
100314273,Mir295-1,91
100314274,Mir764,37
100314276,Mir140,255
100314277,Mirlet7f-1os,112
100314278,Mir24-2,205
100314279,Mir101a,181
100314280,Mir135a,36
100314281,Mir195,184
100314282,Mir296,115
100314283,Mir377,47
100314284,Mir487b,173
100314286,Mir484,117
100314287,Mir105,37
100314288,Mir465,36
100314289,Mir351,91
100314290,Mir26a,189
100314291,Mir124-1,153
100314292,Mir181a2,206
100314293,Mir219-2,3
100322884,Nemf,2
100359438,Zfp683,1
100359512,Vti1b,66
100359515,Nos2-ps1,4
100359529,Immp2l,6
100359583,Ptmal5,1
100359592,Palm3,1
100359595,Tbc1d32,75
100359642,Chmp4b,23
100359675,Alpp,5
100359680,Lpcat2,9
100359692,H2bc9,21
100359714,Phf6,91
100359753,Dnaaf3,60
100359775,Bpifa6,11
100359816,Setd1b,10
100359823,Tmem167a,2
100359836,Kirrel2,2
100359879,Tmem91,78
100359907,Scpppq1,3
100359922,LOC100359922,1
100359924,Pate10,11
100359968,Pate14,11
100359982,Mpc2,1
100360017,Mrps6,14
100360049,Pate14l2,11
100360057,Rpl22-ps2,2
100360066,Evi5,49
100360071,Nps,5
100360077,Znhit1,46
100360100,Taf3,17
100360180,Pgd,48
100360197,Rad51ap2,3
100360205,Palld,110
100360218,Il13ra1-ps1,2
100360287,Zfp952,9
100360302,Sec16a,67
100360334,Fhod3,1
100360342,Msh6,43
100360390,Cldn25,9
100360412,Dnajc1,2
100360427,E2f4,60
100360437,Nsun3,1
100360457,Fmn2,6
100360501,Rnh1,2
100360533,Tlcd3a,2
100360552,Fzd7,34
100360582,Nt5c,96
100360594,Fanci,17
100360606,Zranb1,45
100360623,Iqgap2,105
100360640,Pxt1,5
100360658,Zc3h15-ps1,4
100360666,Lrtm1,47
100360679,Rps18l1,27
100360682,Snrpe,154
100360757,Ctcfl1,4
100360772,Zfp715,9
100360801,Ddx60,2
100360841,Rpl37-ps5,46
100360846,Psmb6l1,60
100360868,H3f3c,19
100360872,Mcpt1l1,11
100360880,Fosb,48
100360914,Fbxw7,131
100360936,Anapc16,17
100360982,Relb,53
100361007,Adig,9
100361016,Ventx,29
100361036,Oxct2a,1
100361087,C13h1orf226,2
100361092,Malrd1,2
100361133,Mycbp,33
100361134,Shisa9,24
100361138,Dgkq,17
100361188,Etfrf1,1
100361194,Or7h8,1
100361238,Rasgef1b,1
100361261,LOC100361261,2
100361269,Snrpa1,119
100361294,Tyk2,35
100361323,Astn2,3
100361376,Kank2,102
100361383,Ecm2,73
100361414,Pate3,11
100361417,Tbcd,4
100361444,Angptl8,3
100361457,Actg1l1,192
100361465,Pate2,15
100361503,Zfp717,9
100361517,Psmg3,7
100361529,Rad9a,17
100361543,Lamtor1l1,3
100361558,H3f3a,86
100361568,Hilpda,18
100361571,Krtap1-1,1
100361574,Polr2k,53
100361584,Ano2,10
100361633,Cd300ld,2
100361647,Galnt6,4
100361657,Pate1,15
100361658,Usp37,16
100361684,Simc1,3
100361706,Iglc1,3
100361765,Hoxb2,37
100361774,Ralgps1,1
100361814,Ear1l1,13
100361818,Nfatc1,119
100361828,Pate6l,11
100361830,Tram2,4
100361854,Rps26l5,82
100361884,Prl8a3,58
100361891,Rab5al1,94
100361909,Ear1,8
100361923,Ikzf4,7
100361939,Rnaseh2c,2
100361947,Zfp42,3
100362027,Rpl30l2,2
100362031,Krtap4-6,6
100362059,Ttc16,59
100362078,Pate5,11
100362120,Catsperz,6
100362121,Ddb2,40
100362124,Ift140,92
100362142,Ube2v1-ps2,21
100362155,Tmem276,1
100362202,Znf408,6
100362255,Adgrv1,123
100362279,Trappc3l,13
100362311,Arhgap33,18
100362324,Dhx29,4
100362333,Pole3-ps3,4
100362346,Mta3,25
100362347,Fnip1,16
100362441,Gpr82,1
100362458,Gigyf2,8
100362470,Mrtfb,9
100362495,Haus5,5
100362547,Ap1g2,8
100362548,Elp3,6
100362554,Otulin,20
100362555,Sptssb,5
100362565,Pkd1l3,4
100362572,Mpv17l,45
100362580,Spag11b,41
100362588,Izumo3,1
100362601,Scgb1d2-ps1,2
100362634,Kmt2d,69
100362640,Rps4x,123
100362644,Slc2a7,3
100362678,Epc1,37
100362710,Tiam2,7
100362725,Cdkl5,3
100362729,Igfl3,1
100362805,Txndc5,1
100362836,Poc1b,1
100362895,Hsp90aa1-ps17,23
100362940,Snx21,1
100363012,Rps21-ps1,85
100363053,Tas2r145,14
100363125,H2al3,6
100363145,Stab1,1
100363176,Polr2k-ps2,11
100363178,Tmigd3,1
100363253,Nt5c2,7
100363275,Adgra2,8
100363276,Arhgap6,6
100363332,Card11,107
100363439,Rps10l1,27
100363492,Ly6k,2
100363502,Cycs-ps9,4
100363539,Mrpl33,51
100364002,Rhox9l1,1
100364162,Rnf11,20
100364165,Nktr,14
100364350,Nwd1,3
100364435,Tmsb10-ps6,1
100364568,Rprd2,5
100364835,H2bc6,13
100364984,Rab37,20
100364990,Pdss1,1
100365184,Prdm14,16
100365370,Ctdsp2,10
100365504,Sf3b6,112
100365679,Dennd5b,36
100365683,Nr2e3,38
100365773,Oca2,23
100365872,Eif4ebp3,31
100365921,Pigy,2
100366017,Ube2e1,36
100366024,Prdm16,64
100366030,Zfp658l1,1
100366237,Pfdn4,5
100498801,Mir295-2,36
100499406,Cct2-ps1,69
100499407,Cct3-ps1,69
100499410,Cct3-ps4,69
100499415,Cct6a-ps5,69
100499419,Cct6a-ps15,69
