this_gene,other_gene,weight
83062365,83062408,2
83062365,83063081,2
83062365,83063273,2
83062365,83064338,2
83062408,83063081,2
83062408,83063273,2
83062408,83064338,2
83063081,83063273,2
83063081,83064338,2
83063273,83064338,2
83064765,83064766,2
83064765,83064767,2
83064766,83064767,2
83063925,83063942,2
83063925,83064387,2
83063925,83066322,2
83063942,83064387,2
83063942,83066322,2
83064387,83066322,2
83065777,83066063,2
83063843,83063848,2
83063843,83064258,2
83063848,83064258,2
83062443,83063824,2
83062443,83064806,2
83062443,83064808,2
83062443,83065227,2
83062443,83065343,2
83062443,83065383,2
83062443,83065690,2
83062443,83065892,2
83062443,83066087,2
83063824,83064806,2
83063824,83064808,2
83063824,83065227,2
83063824,83065343,2
83063824,83065383,2
83063824,83065690,2
83063824,83065892,2
83063824,83066087,2
83064806,83064808,2
83064806,83065227,2
83064806,83065343,2
83064806,83065383,2
83064806,83065690,2
83064806,83065892,2
83064806,83066087,2
83064808,83065227,2
83064808,83065343,2
83064808,83065383,2
83064808,83065690,2
83064808,83065892,2
83064808,83066087,2
83065227,83065343,2
83065227,83065383,2
83065227,83065690,2
83065227,83065892,2
83065227,83066087,2
83065343,83065383,2
83065343,83065690,2
83065343,83065892,2
83065343,83066087,2
83065383,83065690,2
83065383,83065892,2
83065383,83066087,2
83065690,83065892,2
83065690,83066087,2
83065892,83066087,2
83063509,83063709,2
83063509,83064593,2
83063509,83066624,2
83063709,83064593,2
83063709,83066624,2
83064593,83066624,2
83063513,83064833,2
83063513,83064844,2
83063513,83066203,2
83064147,83064148,2
83064833,83064844,2
83064833,83066203,2
83064844,83066203,2
83063849,83064197,2
83063849,83064545,2
83063849,83065065,2
83063849,83066145,2
83066389,83066392,2
83062745,83064742,2
83063396,83064742,2
83062103,83063045,2
83062103,83064202,2
83062103,83064343,2
83062103,83064482,2
83062103,83064692,2
83062103,83064757,2
83062103,83065010,2
83062103,83065347,2
83062103,83065851,2
83062103,83065960,2
83062103,83065965,2
83062103,83066150,2
83062103,83066183,2
83062103,83066187,2
83063045,83064202,2
83063045,83064343,2
83063045,83064482,2
83063045,83064692,2
83063045,83064757,2
83063045,83065010,2
83063045,83065347,2
83063045,83065851,2
83063045,83065960,2
83063045,83065965,2
83063045,83066150,2
83063045,83066183,2
83063045,83066187,2
83064202,83064343,2
83064202,83064482,2
83064202,83064692,2
83064202,83064757,2
83064202,83065010,2
83064202,83065347,2
83064202,83065851,2
83064202,83065960,2
83064202,83065965,2
83064202,83066150,2
83064202,83066183,2
83064202,83066187,2
83064343,83064482,2
83064343,83064692,2
83064343,83064757,2
83064343,83065010,2
83064343,83065347,2
83064343,83065851,2
83064343,83065960,2
83064343,83065965,2
83064343,83066150,2
83064343,83066183,2
83064343,83066187,2
83064482,83064692,2
83064482,83064757,2
83064482,83065010,2
83064482,83065347,2
83064482,83065851,2
83064482,83065960,2
83064482,83065965,2
83064482,83066150,2
83064482,83066183,2
83064482,83066187,2
83064692,83064757,2
83064692,83065010,2
83064692,83065347,2
83064692,83065851,2
83064692,83065960,2
83064692,83065965,2
83064692,83066150,2
83064692,83066183,2
83064692,83066187,2
83064757,83065010,2
83064757,83065347,2
83064757,83065851,2
83064757,83065960,2
83064757,83065965,2
83064757,83066150,2
83064757,83066183,2
83064757,83066187,2
83065010,83065347,2
83065010,83065851,2
83065010,83065960,2
83065010,83065965,2
83065010,83066150,2
83065010,83066183,2
83065010,83066187,2
83065347,83065851,2
83065347,83065960,2
83065347,83065965,2
83065347,83066150,2
83065347,83066183,2
83065347,83066187,2
83065851,83065960,2
83065851,83065965,2
83065851,83066150,2
83065851,83066183,2
83065851,83066187,2
83065960,83065965,2
83065960,83066150,2
83065960,83066183,2
83065960,83066187,2
83065965,83066150,2
83065965,83066183,2
83065965,83066187,2
83066150,83066183,2
83066150,83066187,2
83066183,83066187,2
83062676,83065003,2
83062542,83063666,2
83062542,83065341,2
83062542,83066596,2
83063666,83064861,2
83063666,83065341,2
83063666,83066596,2
83064861,83065341,2
83064861,83066596,2
83065341,83066596,2
83066233,83066373,2
83062752,83065513,2
83063724,83064679,2
83063820,83065014,2
83063820,83065215,2
83063820,83065905,2
83063820,83066205,2
83065014,83065215,2
83065014,83065905,2
83065014,83066205,2
83065215,83065905,2
83065215,83066205,2
83065905,83066205,2
83064287,83064372,2
83064287,83065570,2
83064287,83066438,2
83064372,83065570,2
83064372,83066438,2
83065570,83066438,2
83062235,83063202,2
83062235,83064568,2
83062235,83064805,2
83062235,83065203,2
83062235,83065482,2
83062235,83065680,2
83062633,83063466,2
83062633,83065153,2
83062967,83063466,2
83062967,83065153,2
83063202,83064568,2
83063202,83064805,2
83063202,83065203,2
83063202,83065482,2
83063202,83065680,2
83063466,83063810,2
83063466,83064167,2
83063466,83065153,2
83063466,83065550,2
83063810,83065153,2
83064167,83065153,2
83064568,83064805,2
83064568,83065203,2
83064568,83065482,2
83064568,83065680,2
83064805,83065203,2
83064805,83065482,2
83064805,83065680,2
83065153,83065550,2
83065203,83065482,2
83065203,83065680,2
83065482,83065680,2
83063272,83066557,2
83064037,83066557,2
