source,target,weight
84353,360302,1
84353,683788,1
84353,83613,1
84353,24666,1
84353,116671,1
84353,497672,1
84353,310533,1
84353,83824,1
84353,29192,1
84353,140657,1
84353,360543,1
84353,24572,1
84353,24514,1
84353,24684,1
84353,24918,1
84353,25365,1
84353,83629,1
84353,295691,1
84353,499150,1
84353,25317,1
84353,690575,1
84353,100910104,1
84353,116549,1
84353,54133,1
84353,192218,1
84353,288471,1
84353,24855,1
84353,60445,1
84353,50662,1
84353,192248,1
84353,24914,1
84353,497988,1
84353,498515,1
84353,360564,1
84353,25705,1
84353,24804,1
84353,24949,1
84353,29138,1
84353,29647,1
84353,85327,1
84353,24176,1
84353,29213,1
84353,116557,1
84353,81732,1
84353,117273,1
84353,300807,1
84353,85491,1
84353,140581,1
84353,140673,1
84353,85252,1
84353,291145,1
84353,295052,1
84353,29437,1
84353,117048,1
84353,307614,1
84353,29588,1
84353,50685,1
84353,54265,1
84353,309692,1
84353,316527,1
84353,114588,1
84353,294568,1
84353,360891,1
84353,361517,1
84353,682507,1
84353,305918,1
84353,81818,1
84353,25735,1
84353,691857,1
84353,84399,1
84353,25563,1
84353,364712,1
84353,29148,1
84353,79451,1
84353,29361,1
84353,114502,1
84353,25529,1
84353,84016,1
84353,293645,1
84353,360406,1
84353,291755,1
84353,291760,1
84353,307562,1
84353,64466,1
84353,363073,1
84353,24600,1
84353,84482,1
84353,302415,1
84353,171026,1
84353,305999,1
84353,299738,1
84353,25537,1
84353,79433,1
84353,288124,1
84353,25099,1
84353,79237,1
84353,24267,1
84353,24360,1
84353,24362,1
84353,24703,1
84353,24782,1
84353,24788,1
84353,24962,1
84353,25027,1
84353,25046,1
84353,25244,1
84353,25373,1
84353,29144,1
84353,29150,1
84353,29344,1
84353,29431,1
84353,29432,1
84353,29565,1
84353,29578,1
84353,56082,1
84353,58978,1
84353,60336,1
84353,60581,1
84353,64196,1
84353,64205,1
84353,64353,1
84353,64355,1
84353,64392,1
84353,64474,1
84353,64527,1
84353,64896,1
84353,79130,1
84353,81784,1
84353,83472,1
84353,83688,1
84353,83803,1
84353,83809,1
84353,113886,1
84353,114499,1
84353,116670,1
84353,117259,1
84353,117282,1
84353,117548,1
84353,140662,1
84353,170538,1
84353,170910,1
84353,171114,1
84353,192234,1
84353,252898,1
84353,259275,1
84353,260416,1
84353,288444,1
84353,288701,1
84353,289582,1
84353,298423,1
84353,298836,1
84353,299864,1
84353,301252,1
84353,301618,1
84353,305234,1
84353,307947,1
84353,309420,1
84353,311130,1
84353,313591,1
84353,360502,1
84353,307563,1
84353,687536,1
84353,29248,1
84353,29275,1
84353,84015,1
84353,498587,1
84353,24218,1
84353,25203,1
84353,89830,1
84353,287701,1
84353,300247,1
84353,114517,1
84353,307799,1
84353,116680,1
84353,83476,1
84353,25717,1
84353,29591,1
84353,315139,1
84353,316258,1
84353,25517,1
84353,266738,1
84353,498575,1
84353,361432,1
84353,25728,1
84353,362587,1
84353,54250,1
84353,63881,1
84353,25437,1
84353,25332,1
84353,25595,1
84353,29636,1
84353,60357,1
84353,246118,1
84353,500235,1
84353,24695,1
84353,362263,1
84353,81633,1
84353,287098,1
84353,287099,1
84353,304073,1
84353,170913,1
84353,140588,1
84353,288514,1
84353,301059,1
84353,317435,1
84353,24598,1
84353,25416,1
84353,29546,1
84353,58948,1
84353,64053,1
84353,81647,1
84353,300665,1
84353,25613,1
84353,25163,1
84353,114482,1
84353,313663,1
84353,302711,1
84353,365755,1
84353,113983,1
84353,406230,1
84353,116554,1
84353,108348065,1
84353,83785,1
84353,24791,1
84353,25353,1
84353,64086,1
84353,113927,1
84353,361765,1
84353,303477,1
84353,24212,1
84353,25380,1
84353,29448,1
84353,50993,1
84353,56042,1
84353,56611,1
84353,58857,1
84353,60384,1
84353,64633,1
84353,66028,1
84353,79117,1
84353,79121,1
84353,81664,1
84353,81754,1
84353,83427,1
84353,83529,1
84353,83532,1
84353,84599,1
84353,117103,1
84353,140940,1
84353,171337,1
84353,286918,1
84353,287709,1
84353,288779,1
84353,290994,1
84353,297428,1
84353,299204,1
84353,301742,1
84353,306182,1
84353,308068,1
84353,309187,1
84353,309475,1
84353,361207,1
84353,362915,1
84353,100360623,1
84353,79114,1
84353,287287,1
84353,29388,1
84353,29557,1
84353,29693,1
84353,171409,1
84353,290561,1
84353,361400,1
84353,361630,1
84353,100361818,1
84353,64512,1
84353,25622,1
84353,301737,1
84353,64470,1
84353,294790,1
84353,301555,1
84353,302502,1
84353,361181,1
84353,366992,1
84353,24337,1
84353,81685,1
84353,81634,1
84353,25453,1
84353,364754,1
84353,305505,1
84353,362317,1
84353,689710,1
84353,499745,1
84353,29598,1
84353,29628,1
84353,116563,1
84353,500863,1
84353,81686,1
84353,313702,1
84353,24260,1
84353,84577,1
84353,56816,1
84353,302424,1
84353,309165,1
84353,114587,1
84353,116640,1
84353,365468,1
84353,24153,1
84353,24209,1
84353,24917,1
84353,25112,1
84353,25261,1
84353,25389,1
84353,25591,1
84353,25671,1
84353,29466,1
84353,60349,1
84353,64186,1
84353,66019,1
84353,81008,1
84353,85424,1
84353,113984,1
84353,117535,1
84353,287638,1
84353,288153,1
84353,292301,1
84353,293104,1
84353,296344,1
84353,298559,1
84353,298894,1
84353,301101,1
84353,303731,1
84353,304157,1
84353,305455,1
84353,305858,1
84353,312897,1
84353,315745,1
84353,337868,1
84353,362834,1
84353,366126,1
84353,444985,1
84353,499497,1
84353,500126,1
84353,679219,1
84353,686412,1
84353,688041,1
84353,24602,1
84353,29456,1
84353,65208,1
84353,362778,1
84353,25495,1
84353,117275,1
84353,293056,1
84353,54226,1
84353,116666,1
84353,295461,1
84353,361842,1
84353,84494,1
84353,56227,1
84353,289257,1
84353,308596,1
84353,313255,1
84353,315840,1
84353,501699,1
84353,78968,1
84353,360820,1
84353,29584,1
84353,84403,1
84353,394266,1
84353,192270,1
84353,29417,1
84353,65189,1
84353,295062,1
84353,311622,1
84353,25196,1
84353,81649,1
84353,298878,1
84353,315039,1
84353,303586,1
84353,366542,1
84353,299979,1
84353,24335,1
84353,299116,1
84353,25242,1
84353,114851,1
84353,24245,1
84353,303251,1
84353,308212,1
84353,499088,1
84353,690366,1
84353,83805,1
84353,94202,1
84353,117552,1
84353,171357,1
84353,287423,1
84353,365371,1
84353,689864,1
84353,79128,1
84353,100314036,1
